seed,task,split,episode,mu,compliance,curvature,fragility,texture,occlusion,noise,lag,texture_alias,slip_probability,slip_event,lead_time
0,smooth_low_friction_pick,nominal_precontact,0,0.362439,0.195795,0.259590,0.327294,0.209024,0.000000,0.004422,0.000000,0.045697,0.473417,1,0.854582
0,smooth_low_friction_pick,nominal_precontact,1,0.414860,0.222841,0.249784,0.239340,0.192563,0.000000,0.019938,0.000000,0.020106,0.668737,1,0.735265
0,smooth_low_friction_pick,nominal_precontact,2,0.397282,0.184880,0.187170,0.300781,0.295915,0.025050,0.014899,0.000000,0.000000,0.611561,1,0.800227
0,smooth_low_friction_pick,nominal_precontact,3,0.327800,0.194716,0.253319,0.331605,0.118384,0.032936,0.000000,0.000000,0.000000,0.550174,0,0.733557
0,smooth_low_friction_pick,nominal_precontact,4,0.264775,0.165386,0.217261,0.294224,0.095982,0.000000,0.000000,0.025970,0.027598,0.707594,1,0.810440
0,smooth_low_friction_pick,nominal_precontact,5,0.407568,0.201600,0.224748,0.256430,0.159793,0.005582,0.000000,0.000000,0.041826,0.498537,1,0.775699
0,smooth_low_friction_pick,nominal_precontact,6,0.363980,0.219490,0.238321,0.279471,0.142666,0.000000,0.000000,0.000000,0.018759,0.697387,1,0.723720
0,smooth_low_friction_pick,nominal_precontact,7,0.367939,0.239250,0.261729,0.327540,0.273558,0.018988,0.015142,0.000000,0.035858,0.564288,0,0.741471
0,smooth_low_friction_pick,nominal_precontact,8,0.273739,0.229531,0.243831,0.278566,0.228830,0.001698,0.002289,0.000000,0.012345,0.546827,1,0.718906
0,smooth_low_friction_pick,nominal_precontact,9,0.281717,0.164671,0.194660,0.268948,0.169434,0.028540,0.019606,0.000000,0.000000,0.583456,1,0.672737
0,smooth_low_friction_pick,nominal_precontact,10,0.337539,0.231185,0.257339,0.287688,0.248636,0.003802,0.000000,0.013156,0.000000,0.581216,1,0.849315
0,smooth_low_friction_pick,nominal_precontact,11,0.341773,0.246679,0.282837,0.341368,0.159907,0.013525,0.000000,0.000000,0.002892,0.657027,1,0.694132
0,smooth_low_friction_pick,nominal_precontact,12,0.362578,0.264108,0.243170,0.300998,0.145645,0.000000,0.013599,0.008933,0.000000,0.453873,0,0.800362
0,smooth_low_friction_pick,nominal_precontact,13,0.261182,0.191066,0.306467,0.248446,0.172257,0.000000,0.000000,0.000000,0.000000,0.478897,0,0.846750
0,smooth_low_friction_pick,nominal_precontact,14,0.390967,0.180814,0.224304,0.284876,0.104503,0.018778,0.000000,0.030480,0.000000,0.553726,0,0.814491
0,smooth_low_friction_pick,nominal_precontact,15,0.406085,0.185840,0.308869,0.250389,0.166862,0.000000,0.000000,0.009255,0.000000,0.547316,1,0.789460
0,smooth_low_friction_pick,nominal_precontact,16,0.395404,0.279247,0.222505,0.234185,0.217816,0.000000,0.000000,0.012163,0.022523,0.597817,1,0.711548
0,smooth_low_friction_pick,nominal_precontact,17,0.273479,0.184681,0.277825,0.221789,0.289671,0.015143,0.000000,0.001029,0.008809,0.716159,1,0.718485
0,smooth_low_friction_pick,nominal_precontact,18,0.312837,0.180954,0.221293,0.272744,0.230774,0.000000,0.000000,0.000000,0.003005,0.727469,1,0.693482
0,smooth_low_friction_pick,nominal_precontact,19,0.281729,0.253146,0.279854,0.323725,0.205095,0.000000,0.011427,0.045132,0.050514,0.532191,0,0.806591
0,smooth_low_friction_pick,nominal_precontact,20,0.369253,0.257456,0.211764,0.281226,0.288498,0.000000,0.031370,0.030634,0.008146,0.638023,0,0.735458
0,smooth_low_friction_pick,nominal_precontact,21,0.427009,0.205949,0.247723,0.317975,0.217967,0.025783,0.000000,0.008936,0.003824,0.525453,1,0.812380
0,smooth_low_friction_pick,nominal_precontact,22,0.279285,0.191609,0.231301,0.267377,0.280799,0.027770,0.000000,0.011099,0.000000,0.694953,0,0.644372
0,smooth_low_friction_pick,nominal_precontact,23,0.312605,0.157885,0.246669,0.255439,0.190762,0.003369,0.013458,0.001858,0.033551,0.655943,1,0.808142
0,smooth_low_friction_pick,nominal_precontact,24,0.239226,0.215239,0.326988,0.319070,0.209178,0.037171,0.007054,0.024791,0.000000,0.599888,1,0.787527
0,smooth_low_friction_pick,nominal_precontact,25,0.405434,0.222855,0.301335,0.337092,0.175659,0.000000,0.001221,0.007106,0.011289,0.582205,0,0.776571
0,smooth_low_friction_pick,nominal_precontact,26,0.252266,0.260293,0.293419,0.345002,0.319492,0.000000,0.000000,0.000000,0.000000,0.623891,0,0.685615
0,smooth_low_friction_pick,nominal_precontact,27,0.234792,0.210612,0.237128,0.333741,0.248806,0.001325,0.000000,0.001266,0.006418,0.684381,0,0.797348
0,smooth_low_friction_pick,nominal_precontact,28,0.317787,0.222985,0.256855,0.268547,0.240050,0.000000,0.020524,0.003063,0.000000,0.496716,1,0.668064
0,smooth_low_friction_pick,nominal_precontact,29,0.315412,0.272160,0.288100,0.334303,0.258542,0.000000,0.000665,0.000000,0.046878,0.613230,0,0.754107
